category_id,module_id
5,1
8,1
23,1
18,1
13,1
5,2
5,4
6,6
7,6
11,6
10,6
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
63,7
65,7
11,7
70,7
5,8
23,8
13,8
12,9
4,10
2,10
3,10
6,10
4,11
6,11
1,11
2,11
3,11
5,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
65,11
12,12
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
64,7
66,7
67,7
68,7
12,14
9,15
1,18
23,18
4,18
5,58
9,69
18,69
57,96
14,100
65,113
17,114
29,126
31,133
32,134
62,142
43,186
48,203
54,219
55,220
59,227
62,228
